,page,incidentType,date,dateReported,dateOfIncident,location,otherIncidentType
127,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-24,Assault,2021-11-24T22:00:00.000-05:00,2021-11-24T04:00:00.000-05:00,2021-11-24T04:00:00.000-05:00,Victoria Street and Gould Street,
128,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-18-3,Sexual Assault,2021-11-18T17:51:00.000-05:00,2021-10-19T13:15:00.000-04:00,2021-10-13T16:30:00.000-04:00,Mutual Street and Gould Street,
129,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-18-2,Sexual Assault,2021-11-18T17:48:00.000-05:00,2021-11-09T02:45:00.000-05:00,2021-11-09T00:45:00.000-05:00,Nelson Mandela Walk and Gerrard Street East,
130,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-18,Sexual Assault,2021-11-18T17:45:00.000-05:00,2021-11-03T23:45:00.000-04:00,2021-11-03T23:45:00.000-04:00,Dundas Street East and Church Street,
131,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-17,Criminal Harassment,2021-11-17T13:36:00.000-05:00,2021-11-12T12:30:00.000-05:00,2021-11-12T12:30:00.000-05:00,Bond Street and Dundas Street East,
132,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-14,Uttering Threats,2021-11-14T14:46:00.000-05:00,2021-11-09T09:15:00.000-05:00,2021-11-09T09:15:00.000-05:00,Victoria Street and Gould Street ,
133,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-10-4,Assault: Suspect Arrested,2021-11-10T12:36:00.000-05:00,2021-11-06T17:45:00.000-04:00,2021-11-06T17:45:00.000-04:00,Gould Street and Yonge Street ,
134,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-10-3,Uttering Threats,2021-11-10T12:34:00.000-05:00,2021-11-05T20:30:00.000-04:00,2021-11-05T20:30:00.000-04:00,Balzac’s at the Ryerson Image Centre,
135,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-10-2,Assault,2021-11-10T12:32:00.000-05:00,2021-11-05T17:00:00.000-04:00,2021-11-05T13:45:00.000-04:00,Gould Street and Yonge Street,
136,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-10,Robbery: Suspect Arrested,2021-11-10T12:30:00.000-05:00,2021-11-05T12:30:00.000-04:00,2021-11-05T12:30:00.000-04:00,Gould Street and Yonge Street ,
137,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-2,Indecent Act,2021-11-02T12:13:00.000-04:00,2021-10-31T17:15:00.000-04:00,2021-10-31T17:15:00.000-04:00,Nelson Mandela Walk and Gould Street ,
138,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-1-3,Robbery,2021-11-01T13:30:00.000-04:00,2021-10-29T07:00:00.000-04:00,2021-10-29T07:00:00.000-04:00,Victoria Street and Dundas Street East,
139,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-1-2,Assault,2021-11-01T13:28:00.000-04:00,2021-10-28T21:15:00.000-04:00,2021-10-28T21:15:00.000-04:00,Victoria Street and Dundas Street East,
140,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/11/security-incident-november-1,Other,2021-11-01T13:25:00.000-04:00,2021-10-29T12:30:00.000-04:00,2021-10-27T00:30:00.000-04:00,Church Street and Gerrard Street East,Toronto Police Service News Release 
141,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-31,Uttering Threats,2021-10-31T13:09:00.000-04:00,2021-10-27T11:00:00.000-04:00,2021-10-27T10:45:00.000-04:00,Yonge-Dundas Square building,
142,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-25,Robbery,2021-10-25T12:08:00.000-04:00,2021-10-21T22:45:00.000-04:00,2021-10-21T22:45:00.000-04:00,Victoria Street and Dundas Street East,
143,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-24-2,Assault,2021-10-24T21:24:00.000-04:00,2021-10-16T08:45:00.000-04:00,2021-10-16T03:00:00.000-04:00,Church Street and Dundas Street East,
144,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-24,Assault,2021-10-24T21:22:00.000-04:00,2021-10-05T17:15:00.000-04:00,2021-10-05T13:15:00.000-04:00,Carlton Street and Church Street,
145,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-19-5,Assault,2021-10-19T15:40:00.000-04:00,2021-10-15T23:00:00.000-04:00,2021-10-15T23:00:00.000-04:00,Nelson Mandela Walk and Gerrard Street East,
146,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-19-4,Criminal Harassment,2021-10-19T15:38:00.000-04:00,2021-10-14T16:15:00.000-04:00,2021-10-14T15:30:00.000-04:00,Victoria Street and Gould Street,
147,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-19-3,Robbery: Suspect Arrested,2021-10-19T12:49:00.000-04:00,2021-10-14T20:45:00.000-04:00,2021-10-14T08:15:00.000-04:00,Gould Street and O’Keefe Laneway,
148,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-19-2,Assault,2021-10-19T12:46:00.000-04:00,2021-10-12T21:00:00.000-04:00,2021-10-12T21:00:00.000-04:00,Gould Street and Yonge Street,
149,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-19,Robbery,2021-10-19T12:44:00.000-04:00,2021-09-30T13:00:00.000-04:00,2021-09-30T13:00:00.000-04:00,Victoria Street and Dundas Street East,
150,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-12-4,Assault,2021-10-12T14:50:00.000-04:00,2021-10-09T14:15:00.000-04:00,2021-10-09T14:15:00.000-04:00,Church Street and Gould Street,
151,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-12-3,Assault,2021-10-12T14:47:00.000-04:00,2021-10-07T21:45:00.000-04:00,2021-10-07T21:45:00.000-04:00,Victoria Street and Dundas Street East,
152,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-12-2,Assault,2021-10-12T14:44:00.000-04:00,2021-10-06T21:15:00.000-04:00,2021-10-06T21:15:00.000-04:00,Kerr Hall Quad,
153,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-12,Robbery,2021-10-12T14:40:00.000-04:00,2021-09-30T14:45:00.000-04:00,2021-09-30T14:45:00.000-04:00,Victoria Street and Dundas Street East,
154,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-7-3,Indecent Act,2021-10-07T13:16:00.000-04:00,2021-10-05T17:00:00.000-04:00,2021-10-05T17:00:00.000-04:00,Church Street and Gerrard Street East,
155,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-7-2,Other,2021-10-07T13:14:00.000-04:00,2021-10-06T21:15:00.000-04:00,2021-10-03T19:15:00.000-04:00,Dundas Street East and Yonge Street,Toronto Police Service News Release 
156,/content/ryerson/community-safety-security/security-incidents/list-of-security-incidents/2021/10/security-incident-october-7,Assault,2021-10-07T13:12:00.000-04:00,2021-09-29T14:30:00.000-04:00,2021-09-29T14:30:00.000-04:00,Victoria Street and Dundas Street East,
